t_rel,phase,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,deg_0,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,ang_cmd_0,ang_cmd_1,ang_cmd_2,ang_cmd_3,ang_cmd_4,ang_cmd_5,ang_cmd_6,ang_cmd_7,ang_cmd_8,ang_cmd_9,ang_cmd_10,ang_cmd_11,ang_cmd_12,ang_cmd_13,ang_cmd_14,ang_cmd_15,ang_act_0,ang_act_1,ang_act_2,ang_act_3,ang_act_4,ang_act_5,ang_act_6,ang_act_7,ang_act_8,ang_act_9,ang_act_10,ang_act_11,ang_act_12,ang_act_13,ang_act_14,ang_act_15
0.02624964714050293,init_open,-1,-1,-1,-1,-1,-1,-1,nan,234.76,14.85,45.18,96.33,130.78,21.53,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3559,3238,2315,1463,3924,553,2952,2056,1569,694,342,1114,3161,2063,2430,1559,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.82,56.06,41.07,17.85,-244.68,-118.57,-32.29,-3.25,46.79,-138.30,-289.26,159.75,-161.20,41.57,27.50,21.20
0.16065168380737305,init_open,-1,-1,-1,-1,-1,-1,-1,74.27,234.76,14.85,45.26,96.33,130.78,21.45,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3559,3223,2313,1475,3908,563,2953,2025,1541,706,331,1114,3156,2073,2397,1580,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.82,55.18,41.26,17.50,-242.24,-117.70,-32.36,-4.71,48.18,-137.27,-290.70,159.75,-160.74,40.65,25.44,24.00
0.29514408111572266,init_open,-1,-1,-1,-1,-1,-1,-1,74.44,234.76,15.82,45.62,96.33,130.96,21.53,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3559,3166,2303,1553,3810,607,2956,1965,1499,726,320,1113,3137,2101,2343,1619,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.82,51.82,42.21,15.21,-227.29,-113.88,-32.57,-7.53,50.21,-135.54,-292.14,160.12,-159.01,38.06,22.06,29.20
0.4303703308105469,init_open,-1,-1,-1,-1,-1,-1,-1,81.65,234.76,14.68,45.00,96.68,130.69,21.45,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3559,3109,2292,1613,3737,651,2956,1907,1452,748,304,1108,3121,2136,2281,1660,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.82,48.47,43.26,13.44,-216.15,-110.07,-32.57,-10.26,52.42,-133.65,-294.24,162.00,-157.54,34.83,18.19,34.67
0.5653672218322754,init_open,-1,-1,-1,-1,-1,-1,-1,80.33,234.67,14.59,45.88,97.21,130.69,21.53,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3559,3055,2281,1677,3663,700,2963,1840,1401,773,284,1103,3101,2175,2210,1708,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.82,45.29,44.31,11.56,-204.86,-105.82,-33.07,-13.41,54.75,-131.50,-296.86,163.88,-155.71,31.23,13.75,41.07
0.7006165981292725,init_open,-1,-1,-1,-1,-1,-1,-1,84.46,234.40,15.91,45.79,98.53,130.96,23.64,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3559,2997,2270,1740,3585,740,2970,1783,1357,797,270,1094,3084,2207,2151,1747,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.82,41.88,45.36,9.71,-192.97,-102.35,-33.57,-16.09,56.70,-129.43,-298.69,167.25,-154.15,28.28,10.06,46.27
0.8357408046722412,init_open,-1,-1,-1,-1,-1,-1,-1,83.32,234.67,16.35,42.45,100.72,132.28,24.43,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2944,2260,1805,3512,788,2970,1713,1304,825,249,1088,3063,2244,2079,1797,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,38.76,46.31,7.79,-181.83,-98.18,-33.57,-19.39,59.00,-127.02,-301.44,169.50,-152.23,24.86,5.56,52.93
0.9706599712371826,init_open,-1,-1,-1,-1,-1,-1,-1,81.30,234.58,15.91,40.78,105.21,133.42,24.43,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2895,2250,1866,3440,829,2974,1656,1258,841,235,1080,3048,2276,2021,1836,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,35.88,47.26,6.00,-170.85,-94.63,-33.86,-22.07,60.94,-125.64,-303.28,172.50,-150.86,21.91,1.94,58.13
1.1057374477386475,init_open,-1,-1,-1,-1,-1,-1,-1,79.98,234.58,15.82,41.66,106.44,133.68,24.35,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3561,2863,2246,1894,3406,854,2989,1638,1249,848,230,1074,3046,2296,1999,1851,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-15.06,34.00,47.65,5.18,-165.66,-92.46,-34.93,-22.92,61.32,-125.04,-303.93,174.75,-150.68,20.06,0.56,60.13
1.2404239177703857,init_open,-1,-1,-1,-1,-1,-1,-1,81.30,234.49,15.91,40.61,106.52,133.95,24.35,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2863,2246,1892,3406,853,2989,1639,1247,848,230,1074,3046,2297,1999,1851,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,34.00,47.65,5.24,-165.66,-92.55,-34.93,-22.87,61.40,-125.04,-303.93,174.75,-150.68,19.97,0.56,60.13
