t_rel,phase,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,deg_0,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,ang_cmd_0,ang_cmd_1,ang_cmd_2,ang_cmd_3,ang_cmd_4,ang_cmd_5,ang_cmd_6,ang_cmd_7,ang_cmd_8,ang_cmd_9,ang_cmd_10,ang_cmd_11,ang_cmd_12,ang_cmd_13,ang_cmd_14,ang_cmd_15,ang_act_0,ang_act_1,ang_act_2,ang_act_3,ang_act_4,ang_act_5,ang_act_6,ang_act_7,ang_act_8,ang_act_9,ang_act_10,ang_act_11,ang_act_12,ang_act_13,ang_act_14,ang_act_15
0.09672737121582031,init_open,-1,-1,-1,-1,-1,-1,-1,103.80,234.23,17.67,350.60,110.21,359.91,28.74,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2899,2247,1874,3410,849,2986,1642,1250,853,230,1057,3042,2288,2000,1991,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,36.12,47.55,5.76,-166.27,-92.89,-34.71,-22.73,61.27,-124.61,-303.93,181.13,-150.31,20.80,0.62,78.80
0.23099231719970703,init_open,-1,-1,-1,-1,-1,-1,-1,103.80,234.14,17.67,350.51,110.30,359.91,28.65,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2894,2247,1875,3410,850,2986,1642,1250,853,230,1057,3042,2288,2000,1971,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,35.82,47.55,5.74,-166.27,-92.81,-34.71,-22.73,61.27,-124.61,-303.93,181.13,-150.31,20.80,0.62,76.13
0.3656160831451416,init_open,-1,-1,-1,-1,-1,-1,-1,103.80,234.23,17.58,350.07,110.21,359.91,28.65,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2889,2247,1878,3410,850,2986,1642,1250,853,230,1057,3042,2288,1999,1949,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,35.53,47.55,5.65,-166.27,-92.81,-34.71,-22.73,61.27,-124.61,-303.93,181.13,-150.31,20.80,0.56,73.20
0.50077223777771,init_open,-1,-1,-1,-1,-1,-1,-1,104.15,234.14,17.67,349.54,110.30,359.91,28.65,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2884,2247,1880,3409,850,2986,1642,1249,853,230,1057,3042,2288,2000,1926,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,35.24,47.55,5.59,-166.12,-92.81,-34.71,-22.73,61.32,-124.61,-303.93,181.13,-150.31,20.80,0.62,70.13
0.635775089263916,init_open,-1,-1,-1,-1,-1,-1,-1,104.06,234.14,17.58,349.80,110.30,359.91,28.65,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2880,2247,1882,3409,850,2986,1642,1249,853,230,1057,3042,2288,2000,1905,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,35.00,47.55,5.53,-166.12,-92.81,-34.71,-22.73,61.32,-124.61,-303.93,181.13,-150.31,20.80,0.62,67.33
0.7705299854278564,init_open,-1,-1,-1,-1,-1,-1,-1,104.06,234.14,17.67,349.89,110.30,359.91,28.65,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2878,2247,1885,3408,851,2986,1642,1249,854,230,1057,3042,2288,2000,1881,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,34.88,47.55,5.44,-165.97,-92.72,-34.71,-22.73,61.32,-124.52,-303.93,181.13,-150.31,20.80,0.62,64.13
0.9054555892944336,init_open,-1,-1,-1,-1,-1,-1,-1,104.24,234.14,17.75,350.60,110.30,359.91,28.56,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2871,2247,1888,3408,851,2986,1642,1249,854,230,1057,3042,2288,2000,1860,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,34.47,47.55,5.35,-165.97,-92.72,-34.71,-22.73,61.32,-124.52,-303.93,181.13,-150.31,20.80,0.62,61.33
1.0407564640045166,init_open,-1,-1,-1,-1,-1,-1,-1,104.33,234.14,17.23,350.86,110.30,359.91,28.65,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2869,2247,1890,3408,851,2986,1642,1249,854,230,1057,3042,2288,2000,1851,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,34.35,47.55,5.29,-165.97,-92.72,-34.71,-22.73,61.32,-124.52,-303.93,181.13,-150.31,20.80,0.62,60.13
1.1757705211639404,init_open,-1,-1,-1,-1,-1,-1,-1,104.41,234.14,17.31,350.77,110.39,359.91,28.65,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2869,2247,1890,3408,851,2986,1642,1249,854,230,1057,3042,2288,2000,1851,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,34.35,47.55,5.29,-165.97,-92.72,-34.71,-22.73,61.32,-124.52,-303.93,181.13,-150.31,20.80,0.62,60.13
1.310746431350708,init_open,-1,-1,-1,-1,-1,-1,-1,104.33,234.14,17.31,350.86,110.30,359.91,28.65,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2869,2247,1890,3408,851,2986,1642,1249,854,230,1057,3042,2288,2000,1851,-14.82,34.06,47.55,5.26,-165.81,-92.89,-34.50,-22.78,61.32,-124.61,-303.93,180.00,-150.31,20.80,0.62,60.00,-14.94,34.35,47.55,5.29,-165.97,-92.72,-34.71,-22.73,61.32,-124.52,-303.93,181.13,-150.31,20.80,0.62,60.13
