timestamp,t_unix,t_rel,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,cmd_angle_0,cmd_angle_1,cmd_angle_2,cmd_angle_3,cmd_angle_4,cmd_angle_5,cmd_angle_6,cmd_angle_7,cmd_angle_8,cmd_angle_9,cmd_angle_10,cmd_angle_11,cmd_angle_12,cmd_angle_13,cmd_angle_14,cmd_angle_15,act_angle_0,act_angle_1,act_angle_2,act_angle_3,act_angle_4,act_angle_5,act_angle_6,act_angle_7,act_angle_8,act_angle_9,act_angle_10,act_angle_11,act_angle_12,act_angle_13,act_angle_14,act_angle_15,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,deg_0,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6
2026-03-21T18:34:12.567,1774132452.5677547,0.00025916099548339844,3561,3080,2251,1791,3407,844,2377,1642,614,853,230,770,2706,2128,2000,1849,3561,3070,2251,1789,3408,845,2311,1640,564,854,230,-1,-1,-1,2000,1849,-15.059760956175298,46.76470588235294,47.16928251121076,8.205882352941178,-165.81355932203388,-93.32653061224491,8.785714285714286,-22.729411764705883,84.57999415777144,-124.60710441334768,-303.93013100436684,288.75,-119.55176767676767,35.56923076923077,0.625,59.86666666666667,-15.059760956175298,46.1764705882353,47.16928251121076,8.26470588235294,-165.96610169491527,-93.23979591836734,13.5,-22.823529411764707,86.20533617708448,-124.52099031216362,-303.93013100436684,nan,nan,nan,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,85.08,252.16,29.79,65.83,99.67,175.43,51.06
2026-03-21T18:34:12.985,1774132452.985351,0.41785550117492676,3560,3068,2251,1789,3408,843,2320,1641,575,853,230,808,2587,2158,2000,1849,3561,3071,2250,1789,3408,846,2311,1640,563,854,230,775,2579,2131,2000,1849,-15.056735084976555,46.08116157855548,47.08002213770788,8.255770662695461,-166.11478223557177,-93.40667786101781,12.788426763110301,-22.763365599404324,85.82644567024361,-124.52208036407734,-303.93013100436684,274.17721518987344,-108.67004698887612,32.70886075949367,0.6250000000000142,59.868354430379746,-15.059760956175298,46.235294117647065,47.2645739910314,8.26470588235294,-165.96610169491527,-93.1530612244898,13.5,-22.823529411764707,86.23760078207007,-124.52099031216362,-303.93013100436684,286.875,-107.92613636363637,35.292307692307695,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,84.11,248.2,82.97,49.39,126.83,165.5,51.42
2026-03-21T18:34:13.067,1774132453.0670803,0.4995846748352051,3560,3063,2251,1791,3408,843,2340,1643,599,853,230,826,2609,2176,2000,1849,3561,3071,2250,1788,3408,845,2311,1641,562,853,230,791,2599,2146,2000,1848,-15.050683342579067,45.77289650037232,47.09208435034343,8.179076693968723,-166.1070585711221,-93.39350297080857,11.365280289330908,-22.643037974683544,85.06475181083923,-124.52426046790478,-303.93013100436684,267.53164556962025,-110.70711066359803,31.04965920155793,0.6250000000000142,59.8717299578059,-15.059760956175298,46.235294117647065,47.2645739910314,8.294117647058824,-165.96610169491527,-93.23979591836734,13.5,-22.776470588235295,86.26985603137996,-124.60710441334768,-303.93013100436684,280.875,-109.75694444444444,33.90769230769231,0.625,59.733333333333334,-1,-1,-1,-1,-1,-1,-1,85.08,248.47,93.43,45.7,138.52,161.72,56.51
2026-03-21T18:34:13.146,1774132453.146192,0.5786964893341064,3560,3055,2251,1795,3408,843,2370,1647,634,853,230,853,2642,2203,2000,1849,3561,3064,2249,1795,3408,846,2311,1647,606,853,230,829,2642,2179,2000,1849,-15.041605728982782,45.310498883097544,47.11017766929668,8.064035740878627,-166.0954730744476,-93.3737406354947,9.230560578661846,-22.462546537602375,83.91222331816066,-124.52753062364594,-303.93013100436684,257.5632911392405,-113.7627061756809,28.56085686465432,0.625,59.876793248945155,-15.059760956175298,45.82352941176471,47.359865470852014,8.088235294117647,-165.96610169491527,-93.1530612244898,13.5,-22.49411764705882,84.84166508005879,-124.60710441334768,-303.93013100436684,266.625,-113.69318181818181,30.86153846153846,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,84.73,248.47,93.52,45.62,138.6,161.72,56.43
2026-03-21T18:34:13.246,1774132453.2467175,0.6792218685150146,3560,3044,2251,1801,3408,843,2410,1652,681,853,230,888,2687,2239,2000,1849,3561,3052,2249,1800,3408,846,2312,1651,656,853,230,866,2687,2216,2000,1848,-15.029502244187805,44.69396872673119,47.134302094567765,7.91064780342517,-166.08002574554817,-93.3473908550762,6.384267631103057,-22.221891288160837,82.35627345744287,-124.53189083130084,-303.93013100436684,244.27215189873414,-117.83683352512467,25.242453748782843,0.625,59.8835443037975,-15.059760956175298,45.11764705882353,47.359865470852014,7.9411764705882355,-165.96610169491527,-93.1530612244898,13.428571428571429,-22.30588235294118,83.19583962851186,-124.60710441334768,-303.93013100436684,252.74999999999997,-117.8125,27.446153846153848,0.625,59.733333333333334,-1,-1,-1,-1,-1,-1,-1,84.64,248.47,93.52,45.62,138.6,161.72,56.51
2026-03-21T18:34:13.354,1774132453.3547378,0.7872421741485596,3560,3039,2251,1803,3408,843,2430,1655,704,853,230,906,2709,2257,2000,1849,3561,3045,2249,1801,3408,846,2317,1653,667,853,230,890,2697,2239,2000,1849,-15.023450501790265,44.385703648548024,47.146364307203264,7.833953834698438,-166.07230208109843,-93.33421596486696,4.961121157323695,-22.101563663440057,81.5697798719291,-124.5340709351283,-303.93013100436684,237.626582278481,-119.87389719984655,23.583252190847144,0.625,59.88691983122362,-15.059760956175298,44.70588235294118,47.359865470852014,7.911764705882352,-165.96610169491527,-93.1530612244898,13.071428571428571,-22.211764705882352,82.83038692547481,-124.60710441334768,-303.93013100436684,243.75,-118.72790404040404,25.323076923076925,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,84.9,248.47,93.43,45.62,138.52,161.63,56.51
2026-03-21T18:34:13.432,1774132453.4325292,0.8650336265563965,3560,3034,2251,1806,3408,844,2450,1657,728,853,230,924,2731,2275,2000,1849,3561,3039,2249,1803,3408,846,2349,1655,694,853,230,911,2732,2262,2000,1849,-15.017398759392776,44.07743857036485,47.15842651983882,7.757259865971706,-166.06457841664874,-93.32104107465773,3.5379746835442996,-21.981236038719288,80.77743858325177,-124.53625103895574,-303.93013100436684,230.98101265822788,-121.91096087456846,21.924050632911406,0.625,59.89029535864978,-15.059760956175298,44.352941176470594,47.359865470852014,7.852941176470588,-165.96610169491527,-93.1530612244898,10.785714285714285,-22.117647058823525,81.92807133859372,-124.60710441334768,-303.93013100436684,235.87499999999997,-121.93181818181817,23.2,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,85.08,248.47,93.34,45.62,136.23,162.6,50.54
2026-03-21T18:34:13.515,1774132453.5158184,0.9483227729797363,3560,3021,2250,1812,3408,844,2500,1664,786,853,230,968,2787,2320,2000,1849,3561,3022,2248,1812,3408,847,2402,1663,774,853,230,956,2804,2308,2000,1849,-15.002269403399112,43.306775874906926,47.18858205142756,7.565524944154879,-166.04526925552463,-93.28810384913459,-0.01989150090418791,-21.680416976917343,78.77012017647007,-124.54170129852434,-303.93013100436684,214.3670886075949,-127.00362006137325,17.776046738072015,0.625,59.898734177215196,-15.059760956175298,43.352941176470594,47.45515695067264,7.588235294117648,-165.96610169491527,-93.06632653061224,7.0,-21.741176470588236,79.20868371093432,-124.60710441334768,-303.93013100436684,218.99999999999997,-128.52272727272728,18.953846153846154,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,84.81,248.47,90.88,47.55,132.54,165.85,48.52
2026-03-21T18:34:13.648,1774132453.6489363,1.0814406871795654,3560,3008,2250,1819,3408,844,2550,1670,845,853,230,1012,2843,2365,2000,1849,3561,3007,2248,1818,3408,847,2475,1670,836,853,230,1007,2860,2359,2000,1849,-14.987140047405283,42.536113179448975,47.2187375830164,7.373790022338052,-166.0259600944003,-93.25516662361147,-3.5777576853526107,-21.379597915115408,76.72319877807854,-124.54715155809296,-303.93013100436684,197.75316455696205,-132.09627924817798,13.628042843232748,0.625,59.90717299578058,-15.059760956175298,42.47058823529412,47.45515695067264,7.411764705882353,-165.96610169491527,-93.06632653061224,1.7857142857142858,-21.41176470588235,77.05132867440054,-124.60710441334768,-303.93013100436684,199.875,-133.6489898989899,14.246153846153845,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,85.08,248.47,88.33,49.83,129.9,168.49,50.98
2026-03-21T18:34:13.769,1774132453.769221,1.2017254829406738,3560,3002,2250,1821,3408,844,2570,1673,868,853,230,1030,2865,2383,2000,1849,3561,3007,2249,1819,3408,847,2511,1673,848,854,230,1029,2858,2380,2000,1849,-14.981088305007798,42.22784810126581,47.230799795651905,7.2970960536113125,-166.01823642995063,-93.24199173340222,-5.000904159132006,-21.25927029039464,75.8928030184842,-124.5493316619204,-303.93013100436684,191.1075949367089,-134.13334292289986,11.968841285297007,0.625,59.910548523206735,-15.059760956175298,42.47058823529412,47.359865470852014,7.382352941176471,-165.96610169491527,-93.06632653061224,-0.7857142857142857,-21.27058823529412,76.62848656895689,-124.52099031216362,-303.93013100436684,191.62500000000003,-133.46590909090907,12.307692307692307,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,84.29,248.64,76.29,54.76,122.52,170.24,47.46
2026-03-21T18:34:13.851,1774132453.8513515,1.28385591506958,3560,2995,2250,1825,3408,845,2599,1677,903,853,230,1056,2898,2410,2000,1849,3561,2997,2248,1825,3408,848,2544,1676,887,853,230,1052,2902,2403,2000,1849,-14.972010691411619,41.76545048399106,47.2488931146052,7.182055100521224,-166.00665093327618,-93.22222939808834,-7.1356238698010985,-21.078778853313473,74.6342335638204,-124.55260181766157,-303.93013100436684,181.1392405063291,-137.1889384349828,9.4800389483934,0.625,59.91561181434599,-15.059760956175298,41.88235294117647,47.45515695067264,7.205882352941177,-165.96610169491527,-92.9795918367347,-3.142857142857143,-21.129411764705885,75.24193222437682,-124.60710441334768,-303.93013100436684,183.0,-137.49368686868686,10.184615384615384,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,84.46,249.26,54.76,60.03,117.51,172.62,47.29
2026-03-21T18:34:13.945,1774132453.945589,1.3780934810638428,3560,2987,2249,1829,3408,845,2629,1680,939,853,230,1083,2932,2437,2000,1849,3561,2991,2249,1828,3408,848,2585,1681,931,854,230,1079,2932,2431,2000,1849,-14.962933077815388,41.30305286671632,47.266986433558486,7.067014147431123,-165.9950654366016,-93.20246706277446,-9.27034358047019,-20.89828741623231,73.35956127786042,-124.55587197340273,-303.93013100436684,171.1708860759494,-140.2445339470656,6.991236611489789,0.6250000000000142,59.92067510548526,-15.059760956175298,41.52941176470588,47.359865470852014,7.117647058823529,-165.96610169491527,-92.9795918367347,-6.071428571428571,-20.894117647058827,73.65422191874174,-124.52099031216362,-303.93013100436684,172.875,-140.239898989899,7.600000000000001,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,85.17,250.05,47.55,63.02,116.19,173.23,47.72
2026-03-21T18:34:14.044,1774132454.0440347,1.476539134979248,3560,2981,2249,1832,3408,845,2649,1683,962,853,230,1101,2954,2455,1999,1849,3561,2984,2249,1831,3408,849,2617,1685,951,854,230,1103,2952,2454,1999,1849,-14.956881335417792,40.994787788533124,47.27904864619404,6.9903201787043985,-165.98734177215186,-93.18929217256523,-10.69349005424952,-20.77795979151154,72.50052218350092,-124.55805207723019,-303.93013100436684,164.5253164556962,-142.28159762178748,5.332035053554058,0.6249999999999858,59.92405063291138,-15.059760956175298,41.117647058823536,47.359865470852014,7.029411764705882,-165.96610169491527,-92.89285714285714,-8.357142857142858,-20.705882352941178,72.92402581867172,-124.52099031216362,-303.93013100436684,163.875,-142.07070707070707,5.476923076923079,0.5625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,84.46,250.84,40.34,65.21,111.62,174.29,47.81
2026-03-21T18:34:14.137,1774132454.137776,1.5702803134918213,3560,2968,2249,1838,3408,845,2699,1689,1021,853,230,1145,3009,2500,2000,1849,3561,2971,2249,1838,3408,849,2662,1691,1018,854,230,1143,3023,2496,2000,1849,-14.941751979424073,40.22412509307523,47.30920417778283,6.798585256887564,-165.96803261102767,-93.1563549470421,-14.251356238698008,-20.477140729709607,70.31905976383106,-124.56350233679879,-303.93013100436684,147.91139240506334,-147.37425680859224,1.1840311587147099,0.625,59.9324894514768,-15.059760956175298,40.352941176470594,47.359865470852014,6.823529411764706,-165.96610169491527,-92.89285714285714,-11.571428571428573,-20.423529411764704,70.43717089539456,-124.52099031216362,-303.93013100436684,148.875,-148.57007575757575,1.6000000000000014,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,84.9,251.46,38.94,66.27,110.65,174.64,47.72
2026-03-21T18:34:14.265,1774132454.2658403,1.6983447074890137,3559,2953,2249,1846,3407,846,2759,1697,1091,853,230,1198,3076,2554,2000,1849,3560,2955,2248,1845,3408,849,2729,1699,1089,854,230,1202,3097,2555,2000,1849,-14.923596752231612,39.29932985852568,47.34539081568937,6.568503350707369,-165.94486161767864,-93.11683027641436,-18.52079566003616,-20.116157855547286,67.63351849145816,-124.57004264828112,-303.93013100436684,127.97468354430379,-153.48544783275796,-3.793573515092511,0.625,59.942616033755286,-14.9402390438247,39.411764705882355,47.45515695067264,6.61764705882353,-165.96610169491527,-92.89285714285714,-16.357142857142858,-20.04705882352941,67.72909042218798,-124.52099031216362,-303.93013100436684,126.75000000000001,-155.34406565656565,-3.8461538461538396,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,84.9,252.16,35.07,67.32,105.64,174.81,47.72
2026-03-21T18:34:14.418,1774132454.418867,1.8513715267181396,3559,2939,2248,1853,3407,846,2809,1703,1150,853,230,1243,3132,2599,2000,1849,3560,2940,2247,1853,3407,849,2789,1702,1148,854,230,1244,3151,2597,2000,1849,-14.908467396237782,38.528667163067766,47.37554634727817,6.37676842889054,-165.92555245655447,-93.08389305089125,-22.078661844484646,-19.81533879374534,65.33460065950787,-124.57549290784974,-303.93013100436684,111.36075949367093,-158.57810701956268,-7.94157740993186,0.625,59.951054852320645,-14.9402390438247,38.529411764705884,47.550448430493276,6.382352941176472,-165.81355932203388,-92.89285714285714,-20.642857142857142,-19.905882352941173,65.41702955997704,-124.52099031216362,-303.93013100436684,111.0,-160.28724747474746,-7.723076923076917,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,84.9,252.42,29.62,67.15,101.16,175.08,47.72
2026-03-21T18:34:14.543,1774132454.5435262,1.9760305881500244,3559,2924,2248,1861,3407,847,2868,1711,1220,853,230,1296,3199,2653,2000,1849,3560,2925,2247,1860,3408,848,2842,1711,1217,853,230,1289,3214,2644,2000,1849,-14.89031216904532,37.603871928518245,47.411732985184756,6.146686522710351,-165.9023814632053,-93.04436838026349,-26.34810126582277,-19.454355919583023,62.496203747130004,-124.58203321933209,-303.93013100436684,91.42405063291145,-164.6892980437284,-12.919182083739038,0.625,59.96118143459917,-14.9402390438247,37.64705882352941,47.550448430493276,6.176470588235294,-165.96610169491527,-92.9795918367347,-24.42857142857143,-19.48235294117647,62.63574569457931,-124.60710441334768,-303.93013100436684,94.125,-166.05429292929296,-12.061538461538454,0.625,59.86666666666667,-1,-1,-1,-1,-1,-1,-1,84.99,252.51,25.22,66.53,98.96,174.99,47.64
