t_rel,raw_0,raw_1,raw_2,deg_0,deg_1,deg_2
0.017115354537963867,4051,0,0,356.04,0.00,0.00
0.13214898109436035,4050,0,0,355.96,0.00,0.00
0.24732255935668945,4052,0,0,356.13,0.00,0.00
0.36231303215026855,4050,0,0,355.96,0.00,0.00
0.4775826930999756,4051,0,0,356.04,0.00,0.00
0.5923280715942383,4051,0,0,356.04,0.00,0.00
0.7073209285736084,4050,0,0,355.96,0.00,0.00
0.8221538066864014,4051,0,0,356.04,0.00,0.00
0.9372742176055908,4050,0,0,355.96,0.00,0.00
1.0521457195281982,4051,0,0,356.04,0.00,0.00
1.1671361923217773,4052,0,0,356.13,0.00,0.00
1.282423496246338,4051,0,0,356.04,0.00,0.00
1.3973875045776367,4050,0,0,355.96,0.00,0.00
1.5120759010314941,4050,0,0,355.96,0.00,0.00
1.627368450164795,4051,0,0,356.04,0.00,0.00
1.7422206401824951,4051,0,0,356.04,0.00,0.00
1.857170820236206,4051,0,0,356.04,0.00,0.00
1.97218656539917,4050,0,0,355.96,0.00,0.00
2.0871753692626953,4051,0,0,356.04,0.00,0.00
2.202472686767578,4051,0,0,356.04,0.00,0.00
2.3172435760498047,4051,0,0,356.04,0.00,0.00
2.4322261810302734,4051,0,0,356.04,0.00,0.00
2.5473101139068604,4052,0,0,356.13,0.00,0.00
2.6622650623321533,4051,0,0,356.04,0.00,0.00
2.7772626876831055,4051,0,0,356.04,0.00,0.00
2.892171859741211,4051,0,0,356.04,0.00,0.00
3.007317304611206,4051,0,0,356.04,0.00,0.00
3.122236490249634,4051,0,0,356.04,0.00,0.00
3.2370831966400146,4051,0,0,356.04,0.00,0.00
3.352186679840088,4051,0,0,356.04,0.00,0.00
3.4673759937286377,4051,0,0,356.04,0.00,0.00
3.582231283187866,4051,0,0,356.04,0.00,0.00
3.6972594261169434,4050,0,0,355.96,0.00,0.00
3.8122994899749756,4051,0,0,356.04,0.00,0.00
3.927670478820801,4051,0,0,356.04,0.00,0.00
4.042833566665649,4051,0,0,356.04,0.00,0.00
4.157690525054932,4052,0,0,356.13,0.00,0.00
4.272254467010498,4050,0,0,355.96,0.00,0.00
4.387770891189575,4050,0,0,355.96,0.00,0.00
4.502840280532837,4051,0,0,356.04,0.00,0.00
4.617776870727539,4050,0,0,355.96,0.00,0.00
4.732388734817505,4050,0,0,355.96,0.00,0.00
4.847706079483032,4050,0,0,355.96,0.00,0.00
4.962037563323975,4051,0,0,356.04,0.00,0.00
5.077594995498657,4050,0,0,355.96,0.00,0.00
5.192824125289917,4051,0,0,356.04,0.00,0.00
5.30753755569458,4051,0,0,356.04,0.00,0.00
5.422893047332764,4051,0,0,356.04,0.00,0.00
5.537599802017212,4048,0,0,355.78,0.00,0.00
5.652862071990967,4042,0,0,355.25,0.00,0.00
5.767089605331421,4019,0,0,353.23,0.00,0.00
5.882664442062378,3967,0,0,348.66,0.00,0.00
5.997233629226685,3832,0,0,336.80,0.00,0.00
6.112613201141357,3827,0,0,336.36,0.00,0.00
6.227086305618286,3822,0,0,335.92,0.00,0.00
6.34271502494812,3821,0,0,335.83,0.00,0.00
6.457669019699097,3821,0,0,335.83,0.00,0.00
6.57259726524353,3821,0,0,335.83,0.00,0.00
6.687819957733154,3821,0,0,335.83,0.00,0.00
6.802512884140015,3821,0,0,335.83,0.00,0.00
6.917156219482422,3821,0,0,335.83,0.00,0.00
7.03300929069519,3822,0,0,335.92,0.00,0.00
7.14739465713501,3821,0,0,335.83,0.00,0.00
7.262938976287842,3821,0,0,335.83,0.00,0.00
7.377204179763794,3820,0,0,335.74,0.00,0.00
7.492632865905762,3821,0,0,335.83,0.00,0.00
7.6079840660095215,3821,0,0,335.83,0.00,0.00
7.723454713821411,3820,0,0,335.74,0.00,0.00
7.8385865688323975,3819,0,0,335.65,0.00,0.00
7.952997446060181,3819,0,0,335.65,0.00,0.00
8.067756175994873,3818,0,0,335.57,0.00,0.00
8.183686256408691,3819,0,0,335.65,0.00,0.00
8.297584056854248,3818,0,0,335.57,0.00,0.00
8.412384986877441,3817,0,0,335.48,0.00,0.00
8.527722597122192,3818,0,0,335.57,0.00,0.00
8.642044305801392,3817,0,0,335.48,0.00,0.00
8.757581949234009,3819,0,0,335.65,0.00,0.00
