t_rel,raw_0,raw_1,raw_2,deg_0,deg_1,deg_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0190324783325195,591,2917,972,51.94,256.38,85.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.134393930435181,593,2917,972,52.12,256.38,85.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.249287366867065,591,2917,972,51.94,256.38,85.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.364249229431152,591,2917,971,51.94,256.38,85.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.479292392730713,593,2917,972,52.12,256.38,85.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.594277381896973,590,2917,971,51.86,256.38,85.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.709319114685059,592,2917,972,52.03,256.38,85.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.824090957641602,591,2917,972,51.94,256.38,85.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.939334869384766,592,2917,972,52.03,256.38,85.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.05433416366577,591,2917,972,51.94,256.38,85.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.16944336891174,592,2917,972,52.03,256.38,85.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.28430914878845,593,2917,971,52.12,256.38,85.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.39936780929565,590,2917,972,51.86,256.38,85.43,,t_rel,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15
1.51429963111877,594,2917,972,52.21,256.38,85.43,,1.57002234458923,3435,2540,2743,1860,2320,1919,2455,2102,2235,2300,2550,1540,1400,2080,1957,2024,3435,2540,2743,1860,2320,1919,2474,2103,2254,2301,2551,1540,1400,2080,1957,2021
1.62907671928406,591,2917,972,51.94,256.38,85.43,,1.64413166046143,3435,2540,2743,1860,2320,1919,2435,2102,2216,2300,2550,1540,1400,2080,1958,2033,3435,2540,2743,1860,2320,1919,2471,2103,2234,2301,2551,1540,1400,2080,1958,2030
1.74425745010376,592,2917,972,52.03,256.38,85.43,,1.72419929504395,3435,2540,2743,1860,2320,1919,2415,2102,2196,2300,2550,1540,1400,2080,1959,2042,3435,2540,2743,1860,2320,1919,2471,2103,2216,2301,2551,1540,1400,2080,1959,2040
1.85915184020996,591,2914,971,51.94,256.11,85.34,,1.80396771430969,3435,2540,2743,1860,2320,1919,2395,2102,2177,2300,2550,1540,1400,2080,1959,2051,3435,2540,2743,1860,2320,1920,2442,2103,2198,2301,2551,1540,1400,2080,1960,2048
1.97399377822876,593,2912,971,52.12,255.94,85.34,,1.88386559486389,3435,2540,2743,1860,2320,1919,2375,2102,2157,2300,2550,1540,1400,2080,1960,2060,3435,2540,2743,1860,2320,1919,2423,2103,2179,2301,2551,1540,1400,2080,1960,2057
2.0891854763031,589,2912,971,51.77,255.94,85.34,,1.96392893791199,3435,2540,2743,1860,2320,1919,2355,2102,2138,2300,2550,1540,1400,2080,1961,2069,3435,2540,2743,1860,2320,1919,2423,2103,2156,2301,2551,1540,1400,2080,1961,2066
2.20478963851929,591,2911,971,51.94,255.85,85.34,,2.04411506652832,3435,2540,2743,1860,2320,1919,2335,2102,2118,2300,2550,1540,1400,2080,1961,2078,3435,2540,2743,1860,2320,1920,2423,2103,2136,2301,2551,1540,1400,2080,1961,2075
2.31909847259522,597,2901,972,52.47,254.97,85.43,,2.12411761283875,3435,2540,2743,1860,2320,1919,2315,2102,2099,2300,2550,1540,1400,2080,1962,2087,3435,2540,2743,1860,2320,1919,2423,2103,2117,2301,2551,1540,1400,2080,1961,2085
2.43414282798767,601,2898,972,52.82,254.71,85.43,,2.20416116714478,3435,2540,2743,1860,2320,1919,2295,2102,2079,2300,2550,1540,1400,2080,1963,2096,3435,2540,2743,1860,2320,1920,2419,2103,2097,2301,2551,1540,1400,2080,1963,2093
2.54904818534851,610,2898,972,53.61,254.71,85.43,,2.2841215133667,3435,2540,2743,1860,2320,1919,2276,2102,2060,2300,2550,1540,1400,2080,1963,2105,3435,2540,2743,1860,2320,1920,2336,2103,2076,2301,2551,1540,1400,2080,1963,2101
2.66424489021301,604,2898,973,53.09,254.71,85.52,,2.36411190032959,3435,2540,2743,1860,2320,1919,2256,2102,2040,2300,2550,1540,1400,2080,1964,2114,3435,2540,2743,1860,2320,1919,2303,2103,2058,2301,2551,1540,1400,2080,1964,2110
2.78564786911011,607,2897,973,53.35,254.62,85.52,,2.44430875778198,3435,2540,2743,1860,2320,1919,2236,2102,2021,2300,2550,1540,1400,2080,1965,2123,3435,2540,2743,1860,2320,1919,2274,2103,2036,2301,2551,1540,1400,2080,1965,2118
2.8943886756897,617,2894,973,54.23,254.36,85.52,,2.52420735359192,3435,2540,2743,1860,2320,1919,2216,2102,2001,2300,2550,1540,1400,2080,1965,2132,3435,2540,2743,1860,2320,1919,2260,2103,2015,2301,2551,1540,1400,2080,1965,2128
3.0093994140625,619,2880,973,54.4,253.12,85.52,,2.60411357879639,3435,2540,2743,1860,2320,1919,2196,2102,1982,2300,2550,1540,1400,2080,1966,2141,3435,2540,2743,1860,2320,1919,2259,2103,1997,2301,2551,1540,1400,2080,1966,2135
3.12429571151733,622,2870,971,54.67,252.25,85.34,,2.68418335914612,3435,2540,2743,1860,2320,1919,2176,2102,1962,2300,2550,1540,1400,2080,1967,2150,3435,2540,2743,1860,2320,1919,2259,2103,1979,2301,2551,1540,1400,2080,1967,2143
3.2392156124115,618,2869,970,54.32,252.16,85.25,,2.7641544342041,3435,2540,2743,1860,2320,1919,2156,2102,1943,2300,2550,1540,1400,2080,1967,2159,3435,2541,2744,1860,2320,1919,2258,2103,1959,2301,2551,1540,1400,2080,1967,2149
3.35439085960388,624,2862,965,54.84,251.54,84.81,,2.843994140625,3435,2540,2744,1860,2320,1919,2136,2101,1923,2300,2550,1540,1400,2080,1968,2168,3435,2540,2744,1860,2320,1919,2198,2103,1940,2301,2551,1540,1400,2080,1968,2155
3.46944308280945,621,2856,957,54.58,251.02,84.11,,2.92411613464355,3435,2540,2744,1860,2320,1919,2116,2101,1904,2300,2550,1540,1400,2080,1969,2177,3435,2540,2744,1860,2320,1919,2146,2103,1921,2301,2551,1540,1400,2080,1969,2159
3.5844783782959,632,2814,949,55.55,247.32,83.41,,3.0041344165802,3435,2540,2744,1860,2320,1919,2096,2101,1884,2300,2550,1540,1400,2080,1969,2186,3435,2541,2744,1860,2320,1919,2119,2103,1906,2301,2551,1540,1400,2080,1969,2166
3.6992347240448,634,2788,944,55.72,245.04,82.97,,3.08413290977478,3435,2540,2744,1860,2320,1919,2077,2101,1865,2300,2550,1540,1400,2080,1970,2195,3435,2540,2745,1860,2320,1919,2105,2103,1889,2301,2551,1540,1400,2080,1970,2168
3.81434679031372,641,2781,943,56.34,244.42,82.88,,3.16388964653015,3435,2540,2744,1860,2320,1919,2057,2101,1845,2300,2550,1540,1400,2080,1971,2204,3435,2540,2745,1860,2320,1919,2104,2103,1875,2301,2551,1540,1400,2080,1971,2177
3.92941999435425,637,2777,933,55.99,244.07,82,,3.24386310577393,3435,2540,2744,1860,2320,1919,2037,2101,1826,2300,2550,1540,1400,2080,1971,2213,3435,2541,2745,1860,2320,1919,2104,2103,1862,2301,2551,1540,1400,2080,1971,2181
4.04509854316711,631,2779,932,55.46,244.25,81.91,,3.32415986061096,3435,2540,2744,1860,2320,1919,2017,2101,1806,2300,2550,1540,1400,2080,1972,2222,3435,2540,2745,1860,2320,1919,2104,2102,1845,2301,2551,1540,1400,2080,1972,2181
4.1591899394989,641,2778,932,56.34,244.16,81.91,,3.40421319007874,3435,2540,2744,1860,2320,1919,1997,2101,1787,2300,2550,1540,1400,2080,1973,2231,3435,2540,2745,1860,2320,1919,2103,2102,1831,2301,2551,1540,1400,2080,1973,2182
4.27418875694275,644,2779,932,56.6,244.25,81.91,,3.48413252830505,3435,2540,2744,1860,2320,1919,1977,2101,1767,2300,2550,1540,1400,2080,1973,2239,3435,2540,2745,1860,2320,1919,2091,2102,1809,2301,2551,1540,1400,2080,1973,2181
4.38945484161377,640,2778,932,56.25,244.16,81.91,,3.56413221359253,3435,2540,2744,1860,2320,1919,1957,2101,1748,2300,2550,1540,1400,2080,1974,2248,3435,2541,2745,1860,2320,1919,2006,2102,1786,2301,2551,1540,1400,2080,1974,2181
4.5048508644104,640,2779,932,56.25,244.25,81.91,,3.64414048194885,3435,2540,2744,1860,2320,1919,1937,2101,1728,2300,2550,1540,1400,2080,1975,2257,3435,2540,2745,1860,2320,1919,1952,2102,1772,2301,2551,1540,1400,2080,1975,2182
4.61929321289063,641,2778,932,56.34,244.16,81.91,,3.72422337532043,3435,2540,2744,1860,2320,1919,1917,2101,1709,2300,2550,1540,1400,2080,1975,2266,3435,2541,2745,1860,2320,1919,1925,2102,1760,2301,2551,1540,1400,2080,1975,2181
4.73430228233337,639,2779,932,56.16,244.25,81.91,,3.80411982536316,3435,2540,2744,1860,2320,1919,1897,2101,1689,2300,2550,1540,1400,2080,1976,2275,3435,2541,2745,1860,2320,1919,1917,2102,1758,2301,2551,1540,1400,2080,1976,2181
