joint,sensor,motor,expected_abs_span_deg,motor_max_open_ticks,motor_max_closed_ticks,motor_delta_abs_deg,sensor_open_deg,sensor_closed_deg,sensor_pair_delta_abs_deg,sensor_pair_delta_signed_deg,sensor_global_min_deg,sensor_global_max_deg,sensor_global_span_deg,pair_minus_motor_deg,global_minus_motor_deg
Index abduction,0,8,23.0,1758.0,1542.0,23.0,80.86,nan,nan,nan,80.86,87.28,6.420000000000002,nan,-16.58
Index MCP,3,9,100.0,1376.0,715.0,100.0,82.09,68.82,13.27000000000001,-13.27000000000001,68.82,90.53,21.710000000000008,-86.72999999999999,-78.28999999999999
Index PIP,2,7,100.0,2943.0,1609.0,100.0,34.54,135.7,101.16,101.16,34.54,135.7,101.16,1.1599999999999966,1.1599999999999966
Index DIP,1,7,90.0,2943.0,1609.0,90.0,229.04,118.56,110.47999999999999,-110.47999999999999,118.56,229.48,110.91999999999999,20.47999999999999,20.919999999999987
Thumb CMC,6,12,173.0,1177.0,574.0,173.0,43.59,63.63,20.04,20.04,40.17,63.63,23.46,-152.96,-149.54
Thumb MCP,5,14,100.0,2365.0,1752.0,100.0,303.93,313.77,9.839999999999975,9.839999999999975,302.08,313.77,11.689999999999998,-90.16000000000003,-88.31
Thumb DIP,4,13,90.0,3163.0,2053.0,90.0,98.53,212.78,114.25,114.25,98.26,212.78,114.52,24.25,24.519999999999996
