t_rel,phase,deg_0,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,expected_ang_cmd_7,expected_ang_cmd_7,expected_ang_cmd_8,expected_ang_cmd_9,expected_ang_cmd_12,expected_ang_cmd_13,expected_ang_cmd_14,expected_ang_act_7,expected_ang_act_7,expected_ang_act_8,expected_ang_act_9,expected_ang_act_12,expected_ang_act_13,expected_ang_act_14
0.13707208633422852,init_open,82.79,232.47,12.83,250.84,106.35,171.83,41.31,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3562,2863,2245,1891,3409,849,2992,1643,1249,853,230,1063,3042,2288,2000,1997,236.00,236.00,100.90,300.00,80.00,210.00,170.00,237.18,237.18,100.98,300.00,80.21,210.00,170.00
0.26902198791503906,init_open,82.79,232.56,12.74,250.84,106.35,171.83,41.48,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3562,2863,2245,1891,3409,849,2992,1643,1249,853,230,1062,3042,2288,2000,1972,236.00,236.00,100.90,300.00,80.00,210.00,170.00,237.18,237.18,100.98,300.00,80.14,210.00,170.00
0.4039592742919922,init_open,82.71,232.56,12.74,250.84,106.35,171.74,41.48,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3562,2863,2245,1891,3409,849,2992,1643,1249,853,230,1062,3043,2288,1999,1945,236.00,236.00,100.90,300.00,80.00,210.00,170.00,237.18,237.18,100.98,300.00,80.14,210.10,170.00
0.5392167568206787,init_open,83.06,232.38,12.92,250.84,106.35,171.83,41.31,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3561,2864,2245,1891,3408,849,2991,1643,1249,853,230,1062,3042,2288,2000,1922,236.00,236.00,100.90,300.00,80.00,210.00,170.00,237.05,237.05,100.98,300.00,80.14,210.00,170.00
0.6739938259124756,init_open,83.06,232.38,12.83,251.28,106.35,171.83,41.13,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2245,1891,3408,849,2992,1643,1250,853,230,1062,3042,2288,2000,1895,236.00,236.00,100.90,300.00,80.00,210.00,170.00,237.18,237.18,100.98,300.30,80.14,210.00,170.00
0.8092515468597412,init_open,82.97,232.38,12.92,251.46,106.44,171.83,41.13,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2245,1891,3408,849,2991,1643,1249,853,230,1062,3042,2288,2000,1871,236.00,236.00,100.90,300.00,80.00,210.00,170.00,237.05,237.05,100.98,300.00,80.14,210.00,170.00
0.9440324306488037,init_open,82.88,232.38,12.83,251.37,106.61,171.83,41.13,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2865,2245,1891,3408,849,2990,1643,1249,853,230,1062,3042,2288,2000,1851,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.92,236.92,100.98,300.00,80.14,210.00,170.00
1.0789768695831299,init_open,82.97,232.47,12.92,251.37,106.70,171.83,41.13,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2865,2245,1891,3408,849,2980,1643,1249,853,230,1062,3043,2288,2000,1851,236.00,236.00,100.90,300.00,80.00,210.00,170.00,235.61,235.61,100.98,300.00,80.14,210.10,170.00
1.2143564224243164,init_open,82.97,232.38,12.92,251.28,106.70,171.83,41.13,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2865,2245,1891,3408,849,2980,1643,1249,854,230,1062,3042,2288,2000,1851,236.00,236.00,100.90,300.00,80.00,210.00,170.00,235.61,235.61,100.98,300.00,80.14,210.00,170.00
1.3492567539215088,init_open,82.97,232.47,12.83,251.28,106.70,171.83,41.13,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2865,2245,1891,3408,849,2980,1643,1249,853,230,1062,3042,2288,2000,1851,236.00,236.00,100.90,300.00,80.00,210.00,170.00,235.61,235.61,100.98,300.00,80.14,210.00,170.00
