t_rel,phase,deg_0,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,expected_ang_cmd_7,expected_ang_cmd_7,expected_ang_cmd_8,expected_ang_cmd_9,expected_ang_cmd_12,expected_ang_cmd_13,expected_ang_cmd_14,expected_ang_act_7,expected_ang_act_7,expected_ang_act_8,expected_ang_act_9,expected_ang_act_12,expected_ang_act_13,expected_ang_act_14
0.0964667797088623,init_open,89.21,235.11,84.11,259.10,101.43,150.82,28.30,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2868,2247,1891,3407,851,2371,1643,971,851,230,1060,3042,2292,2000,1949,236.00,236.00,100.90,300.00,80.00,210.00,170.00,155.90,155.90,100.98,215.37,80.00,210.00,170.29
0.22797489166259766,init_open,89.21,233.96,74.62,262.62,101.34,150.82,28.21,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2868,2247,1891,3407,851,2475,1643,1020,851,230,1060,3042,2292,2000,1931,236.00,236.00,100.90,300.00,80.00,210.00,170.00,169.52,169.52,100.98,230.29,80.00,210.00,170.29
0.3632786273956299,init_open,90.88,238.36,50.89,277.03,101.43,151.08,28.21,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2866,2247,1891,3407,851,2562,1643,1062,850,230,1060,3043,2292,2000,1917,236.00,236.00,100.90,300.00,80.00,210.00,170.00,180.90,180.90,100.98,243.07,80.00,210.10,170.29
0.49788808822631836,init_open,90.53,243.81,41.22,280.37,101.43,151.26,28.21,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2866,2247,1890,3407,851,2662,1643,1107,850,230,1060,3042,2292,2000,1902,236.00,236.00,100.90,300.00,80.00,210.00,170.00,193.99,193.99,100.98,256.77,80.00,210.00,170.29
0.6329150199890137,init_open,89.65,245.83,31.90,275.45,101.43,151.52,28.21,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2866,2247,1890,3407,850,2743,1643,1149,851,230,1060,3043,2292,2000,1887,236.00,236.00,100.90,300.00,80.00,210.00,170.00,204.59,204.59,100.98,269.56,80.00,210.10,170.29
0.7680060863494873,init_open,86.48,245.92,27.42,265.25,101.34,152.93,28.30,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2825,1643,1189,851,230,1060,3042,2292,2000,1871,236.00,236.00,100.90,300.00,80.00,210.00,170.00,215.32,215.32,100.98,281.74,80.00,210.00,170.29
0.9031980037689209,init_open,85.87,245.92,25.14,263.76,101.51,155.92,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1890,3408,850,2932,1643,1240,851,230,1060,3042,2291,2000,1854,236.00,236.00,100.90,300.00,80.00,210.00,170.00,229.33,229.33,100.98,297.26,80.00,210.00,170.22
1.038156509399414,init_open,85.78,245.83,24.96,263.58,101.60,156.88,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1890,3408,850,3009,1643,1250,854,230,1060,3042,2291,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,239.40,239.40,100.98,300.30,80.00,210.00,170.22
1.1730296611785889,init_open,85.69,245.83,24.79,263.58,101.60,157.24,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,3012,1643,1252,854,230,1060,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,239.80,239.80,100.98,300.91,80.00,210.00,170.00
1.308241367340088,init_open,85.61,245.83,24.87,263.50,101.60,157.41,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,3007,1643,1249,854,230,1060,3042,2288,2000,1851,236.00,236.00,100.90,300.00,80.00,210.00,170.00,239.14,239.14,100.98,300.00,80.00,210.00,170.00
1.4429881572723389,init_open,85.61,245.83,24.87,263.50,101.60,157.50,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,3007,1643,1250,854,230,1060,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,239.14,239.14,100.98,300.30,80.00,210.00,170.00
1.57796049118042,init_open,85.52,245.83,24.79,263.50,101.60,157.68,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,3003,1643,1250,854,230,1060,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,238.62,238.62,100.98,300.30,80.00,210.00,170.00
1.7128772735595703,init_open,85.61,245.83,24.87,263.50,101.60,157.68,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2993,1643,1250,854,230,1060,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,237.31,237.31,100.98,300.30,80.00,210.00,170.00
1.8479094505310059,init_open,85.61,245.83,24.87,263.50,101.60,157.85,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2993,1643,1250,854,230,1060,3042,2288,2000,1851,236.00,236.00,100.90,300.00,80.00,210.00,170.00,237.31,237.31,100.98,300.30,80.00,210.00,170.00
1.9831078052520752,init_open,85.52,245.83,24.87,263.50,101.60,157.94,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2993,1643,1250,854,230,1060,3042,2288,2000,1851,236.00,236.00,100.90,300.00,80.00,210.00,170.00,237.31,237.31,100.98,300.30,80.00,210.00,170.00
2.1184020042419434,init_open,85.52,245.74,24.87,263.50,101.60,157.94,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2986,1643,1249,854,230,1060,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.39,236.39,100.98,300.00,80.00,210.00,170.00
2.253195285797119,init_open,85.52,245.83,24.87,263.41,101.60,158.03,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2986,1642,1249,854,230,1060,3042,2288,2000,1851,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.39,236.39,100.94,300.00,80.00,210.00,170.00
2.3882453441619873,init_open,85.61,245.83,24.87,263.50,101.60,158.12,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2986,1642,1250,854,230,1060,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.39,236.39,100.94,300.30,80.00,210.00,170.00
2.5230822563171387,init_open,85.61,245.83,24.87,263.41,101.60,158.12,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3407,850,2985,1642,1249,854,230,1060,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.26,236.26,100.94,300.00,80.00,210.00,170.00
2.6582400798797607,init_open,85.52,245.74,24.87,263.50,101.60,158.29,27.42,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3407,850,2985,1642,1249,854,230,1060,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.26,236.26,100.94,300.00,80.00,210.00,170.00
2.7928378582000732,init_open,85.52,245.74,24.87,263.50,101.60,158.29,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2985,1643,1249,854,230,1060,3042,2288,2000,1851,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.26,236.26,100.98,300.00,80.00,210.00,170.00
2.9279167652130127,init_open,85.52,245.74,24.79,263.41,101.60,158.38,27.33,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3407,850,2985,1642,1249,854,230,1060,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.26,236.26,100.94,300.00,80.00,210.00,170.00
3.0628275871276855,random_1_S0,85.43,245.74,24.87,263.41,101.60,158.47,27.33,3559,2864,2247,1891,3407,849,2983,1409,1249,1700,230,1060,3042,2288,2000,1850,3560,2864,2247,1890,3407,850,2983,1595,1249,955,230,1060,3042,2288,2000,1850,236.00,236.00,91.47,300.00,80.00,210.00,170.00,236.00,236.00,99.03,300.00,80.00,210.00,170.00
3.197993516921997,random_1_S0,85.43,245.74,24.87,263.41,101.51,159.26,26.72,3559,2864,2247,1891,3407,849,2983,1409,1249,1700,230,1060,3042,2288,2000,1850,3559,2864,2247,1889,3407,850,2983,1555,1249,1047,230,1060,3042,2288,2000,1850,236.00,236.00,91.47,300.00,80.00,210.00,170.00,236.00,236.00,97.40,300.00,80.00,210.00,170.00
3.3331308364868164,random_1_S0,85.52,245.74,24.96,263.50,101.51,159.70,26.63,3559,2864,2247,1891,3407,849,2983,1409,1249,1700,230,1060,3042,2288,2000,1850,3559,2864,2247,1890,3407,850,2983,1509,1249,1243,230,1060,3042,2288,2000,1850,236.00,236.00,91.47,300.00,80.00,210.00,170.00,236.00,236.00,95.53,300.00,80.00,210.00,170.00
3.468210220336914,random_1_S0,85.43,245.74,25.14,263.23,101.60,159.79,26.72,3559,2864,2247,1891,3407,849,2983,1409,1249,1700,230,1060,3042,2288,2000,1850,3560,2864,2247,1890,3407,850,2983,1476,1249,1381,230,1060,3041,2288,2000,1850,236.00,236.00,91.47,300.00,80.00,210.00,170.00,236.00,236.00,94.19,300.00,80.00,209.90,170.00
3.603203535079956,random_1_S0,85.34,245.74,24.43,264.46,101.51,159.96,26.81,3559,2864,2247,1891,3407,849,2983,1409,1249,1700,230,1060,3042,2288,2000,1850,3560,2864,2247,1890,3407,850,2983,1435,1249,1541,230,1060,3042,2288,2000,1850,236.00,236.00,91.47,300.00,80.00,210.00,170.00,236.00,236.00,92.52,300.00,80.00,210.00,170.00
3.7380194664001465,random_1_S0,85.61,245.65,24.61,264.73,101.51,160.14,26.81,3559,2864,2247,1891,3407,849,2983,1409,1249,1700,230,1060,3042,2288,2000,1850,3560,2864,2247,1890,3407,850,2983,1414,1249,1660,230,1060,3041,2288,2000,1850,236.00,236.00,91.47,300.00,80.00,210.00,170.00,236.00,236.00,91.67,300.00,80.00,209.90,170.00
3.8729875087738037,random_1_S0,85.69,245.65,24.70,264.73,101.51,160.22,26.81,3559,2864,2247,1891,3407,849,2983,1409,1249,1700,230,1060,3042,2288,2000,1850,3560,2864,2247,1890,3407,850,2983,1413,1249,1684,230,1060,3042,2288,2000,1850,236.00,236.00,91.47,300.00,80.00,210.00,170.00,236.00,236.00,91.63,300.00,80.00,210.00,170.00
4.008303165435791,random_1_S0,85.78,245.74,24.70,264.64,101.51,160.22,26.81,3559,2864,2247,1891,3407,849,2983,1409,1249,1700,230,1060,3042,2288,2000,1850,3560,2864,2247,1890,3407,850,2983,1413,1249,1684,230,1060,3042,2288,2000,1850,236.00,236.00,91.47,300.00,80.00,210.00,170.00,236.00,236.00,91.63,300.00,80.00,210.00,170.00
