t_rel,phase,deg_0,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,expected_ang_cmd_7,expected_ang_cmd_7,expected_ang_cmd_8,expected_ang_cmd_9,expected_ang_cmd_12,expected_ang_cmd_13,expected_ang_cmd_14,expected_ang_act_7,expected_ang_act_7,expected_ang_act_8,expected_ang_act_9,expected_ang_act_12,expected_ang_act_13,expected_ang_act_14
0.1203920841217041,init_open,79.28,232.73,15.82,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3410,850,2984,1642,1249,853,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
0.25301599502563477,init_open,79.37,232.73,15.82,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3410,850,2984,1642,1249,853,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
0.3878040313720703,init_open,79.28,232.73,15.82,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1890,3410,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
0.5228128433227539,init_open,79.37,232.73,15.82,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1890,3409,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
0.6578197479248047,init_open,79.45,232.73,15.82,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1890,3409,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
0.7928228378295898,init_open,79.37,232.73,15.73,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
0.9278182983398438,init_open,79.37,232.73,15.73,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
1.0628557205200195,init_open,79.28,232.73,15.73,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
1.197866678237915,init_open,79.37,232.73,15.82,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
1.3328723907470703,init_open,79.28,232.73,15.73,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
1.467846155166626,init_open,79.28,232.73,15.82,152.93,100.37,172.35,37.88,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
1.6031215190887451,init_open,79.37,232.73,15.73,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
1.7381138801574707,init_open,79.37,232.73,15.82,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
1.8731472492218018,init_open,79.28,232.73,15.82,152.84,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
2.0079731941223145,init_open,79.28,232.73,15.73,152.93,100.37,172.35,37.97,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2864,2247,1891,3408,850,2984,1642,1249,854,230,1057,3042,2288,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,236.13,236.13,100.94,300.00,79.79,210.00,170.00
