t_rel,phase,deg_0,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,expected_ang_cmd_7,expected_ang_cmd_7,expected_ang_cmd_8,expected_ang_cmd_9,expected_ang_cmd_12,expected_ang_cmd_13,expected_ang_cmd_14,expected_ang_act_7,expected_ang_act_7,expected_ang_act_8,expected_ang_act_9,expected_ang_act_12,expected_ang_act_13,expected_ang_act_14
0.1316373348236084,init_open,87.45,227.11,27.60,296.81,129.20,165.06,50.71,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2919,2246,1844,3423,799,2619,1642,1005,854,229,790,2748,2019,2000,1906,236.00,236.00,100.90,300.00,80.00,210.00,170.00,188.36,188.36,100.94,225.72,60.99,180.37,150.50
0.2646355628967285,init_open,87.01,227.20,20.13,294.35,126.65,165.59,50.71,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2909,2247,1851,3421,806,2671,1642,1039,854,229,824,2796,2061,2000,1897,236.00,236.00,100.90,300.00,80.00,210.00,170.00,195.17,195.17,100.94,236.07,63.38,185.21,153.54
0.39932990074157715,init_open,86.92,232.73,18.54,291.27,123.75,166.73,50.54,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2900,2246,1859,3417,816,2731,1642,1080,854,229,871,2845,2104,2000,1889,236.00,236.00,100.90,300.00,80.00,210.00,170.00,203.02,203.02,100.94,248.55,66.69,190.15,156.66
0.5344231128692627,init_open,86.84,233.09,13.97,287.31,121.99,168.05,48.96,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2892,2245,1866,3415,824,2798,1642,1126,854,229,923,2904,2156,2000,1879,236.00,236.00,100.90,300.00,80.00,210.00,170.00,211.79,211.79,100.94,262.56,70.35,196.09,160.43
0.6696162223815918,init_open,86.31,233.09,13.62,281.60,117.95,169.28,45.70,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2883,2245,1874,3413,833,2849,1642,1166,854,229,962,2951,2195,2000,1870,236.00,236.00,100.90,300.00,80.00,210.00,170.00,218.46,218.46,100.94,274.73,73.10,200.83,163.26
0.8043828010559082,init_open,85.96,233.26,12.66,280.02,115.22,169.28,45.09,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2875,2245,1881,3410,841,2919,1642,1212,853,229,1014,3009,2245,2000,1859,236.00,236.00,100.90,300.00,80.00,210.00,170.00,227.62,227.62,100.94,288.74,76.76,206.67,166.88
0.9392735958099365,init_open,85.69,233.17,12.74,279.67,112.41,169.54,46.32,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2865,2245,1889,3409,848,2976,1642,1251,853,230,1052,3056,2284,2000,1851,236.00,236.00,100.90,300.00,80.00,210.00,170.00,235.08,235.08,100.94,300.61,79.44,211.41,169.71
1.0743153095245361,init_open,85.69,233.17,12.66,279.67,109.95,169.54,46.93,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2865,2245,1892,3407,851,2997,1642,1248,853,230,1063,3043,2300,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,237.83,237.83,100.94,299.70,80.21,210.10,170.87
1.20920729637146,init_open,85.78,233.17,12.66,279.76,109.86,169.45,46.76,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2865,2245,1891,3407,851,2997,1642,1250,853,230,1063,3044,2300,2000,1851,236.00,236.00,100.90,300.00,80.00,210.00,170.00,237.83,237.83,100.94,300.30,80.21,210.20,170.87
1.3444392681121826,init_open,85.61,233.17,12.74,279.76,109.86,169.45,46.85,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2865,2247,1891,3407,851,2996,1642,1251,853,230,1063,3043,2298,2000,1850,236.00,236.00,100.90,300.00,80.00,210.00,170.00,237.70,237.70,100.94,300.61,80.21,210.10,170.72
