t_rel,phase,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,deg_0,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,cmd_0,cmd_1,cmd_2,cmd_3,cmd_4,cmd_5,cmd_6,cmd_7,cmd_8,cmd_9,cmd_10,cmd_11,cmd_12,cmd_13,cmd_14,cmd_15,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,expected_ang_cmd_0,expected_ang_cmd_1,expected_ang_cmd_2,expected_ang_cmd_3,expected_ang_cmd_4,expected_ang_cmd_5,expected_ang_cmd_6,expected_ang_cmd_7,expected_ang_cmd_8,expected_ang_cmd_9,expected_ang_cmd_10,expected_ang_cmd_11,expected_ang_cmd_12,expected_ang_cmd_13,expected_ang_cmd_14,expected_ang_cmd_15,expected_ang_act_0,expected_ang_act_1,expected_ang_act_2,expected_ang_act_3,expected_ang_act_4,expected_ang_act_5,expected_ang_act_6,expected_ang_act_7,expected_ang_act_8,expected_ang_act_9,expected_ang_act_10,expected_ang_act_11,expected_ang_act_12,expected_ang_act_13,expected_ang_act_14,expected_ang_act_15
0.06448960304260254,init_open,-1,-1,-1,-1,-1,-1,-1,85.87,232.47,13.01,268.86,104.85,170.42,47.02,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3561,2868,2247,1891,3409,850,2984,1642,1250,853,230,1056,3042,2288,2000,2000,nan,nan,nan,nan,nan,nan,236.00,100.90,300.00,nan,nan,80.00,210.00,170.00,nan,nan,nan,nan,nan,nan,nan,nan,236.13,100.94,300.30,nan,nan,79.72,210.00,170.00,nan,nan
0.19715261459350586,init_open,-1,-1,-1,-1,-1,-1,-1,85.87,232.47,12.92,268.77,104.85,170.42,47.02,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3561,2868,2247,1891,3409,850,2984,1642,1250,853,230,1056,3042,2288,2000,1980,nan,nan,nan,nan,nan,nan,236.00,100.90,300.00,nan,nan,80.00,210.00,170.00,nan,nan,nan,nan,nan,nan,nan,nan,236.13,100.94,300.30,nan,nan,79.72,210.00,170.00,nan,nan
0.3324909210205078,init_open,-1,-1,-1,-1,-1,-1,-1,85.87,232.47,13.01,268.77,104.94,170.42,47.20,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3561,2867,2247,1891,3409,850,2984,1642,1250,854,230,1056,3042,2288,2000,1960,nan,nan,nan,nan,nan,nan,236.00,100.90,300.00,nan,nan,80.00,210.00,170.00,nan,nan,nan,nan,nan,nan,nan,nan,236.13,100.94,300.30,nan,nan,79.72,210.00,170.00,nan,nan
0.4671661853790283,init_open,-1,-1,-1,-1,-1,-1,-1,85.87,232.47,12.92,268.77,104.94,170.42,47.29,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3561,2867,2247,1890,3409,850,2984,1642,1249,854,230,1056,3042,2288,2000,1936,nan,nan,nan,nan,nan,nan,236.00,100.90,300.00,nan,nan,80.00,210.00,170.00,nan,nan,nan,nan,nan,nan,nan,nan,236.13,100.94,300.00,nan,nan,79.72,210.00,170.00,nan,nan
0.6023645401000977,init_open,-1,-1,-1,-1,-1,-1,-1,85.87,232.47,13.01,269.03,104.94,170.42,47.20,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3561,2866,2247,1890,3408,850,2984,1642,1249,854,230,1056,3042,2288,2000,1914,nan,nan,nan,nan,nan,nan,236.00,100.90,300.00,nan,nan,80.00,210.00,170.00,nan,nan,nan,nan,nan,nan,nan,nan,236.13,100.94,300.00,nan,nan,79.72,210.00,170.00,nan,nan
0.7371416091918945,init_open,-1,-1,-1,-1,-1,-1,-1,86.04,232.47,13.10,269.03,104.94,170.42,46.76,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2866,2247,1890,3408,851,2984,1642,1249,854,230,1056,3042,2288,2000,1890,nan,nan,nan,nan,nan,nan,236.00,100.90,300.00,nan,nan,80.00,210.00,170.00,nan,nan,nan,nan,nan,nan,nan,nan,236.13,100.94,300.00,nan,nan,79.72,210.00,170.00,nan,nan
0.8727679252624512,init_open,-1,-1,-1,-1,-1,-1,-1,85.96,232.47,12.92,268.15,104.85,170.42,46.85,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2865,2247,1891,3408,851,2984,1642,1249,854,230,1056,3042,2288,2000,1869,nan,nan,nan,nan,nan,nan,236.00,100.90,300.00,nan,nan,80.00,210.00,170.00,nan,nan,nan,nan,nan,nan,nan,nan,236.13,100.94,300.00,nan,nan,79.72,210.00,170.00,nan,nan
1.0071027278900146,init_open,-1,-1,-1,-1,-1,-1,-1,85.96,232.47,12.92,267.80,104.94,170.42,46.93,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3561,2865,2247,1890,3408,851,2984,1642,1249,854,230,1056,3042,2288,2000,1851,nan,nan,nan,nan,nan,nan,236.00,100.90,300.00,nan,nan,80.00,210.00,170.00,nan,nan,nan,nan,nan,nan,nan,nan,236.13,100.94,300.00,nan,nan,79.72,210.00,170.00,nan,nan
1.1420612335205078,init_open,-1,-1,-1,-1,-1,-1,-1,85.96,232.47,13.10,269.12,104.85,170.42,46.93,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2865,2247,1891,3408,851,2984,1642,1249,854,230,1056,3042,2288,2000,1851,nan,nan,nan,nan,nan,nan,236.00,100.90,300.00,nan,nan,80.00,210.00,170.00,nan,nan,nan,nan,nan,nan,nan,nan,236.13,100.94,300.00,nan,nan,79.72,210.00,170.00,nan,nan
1.2773473262786865,init_open,-1,-1,-1,-1,-1,-1,-1,86.04,232.47,13.10,268.51,104.94,170.42,46.93,3559,2864,2247,1891,3407,849,2983,1641,1249,853,230,1060,3042,2288,2000,1850,3560,2865,2247,1891,3408,851,2984,1642,1249,854,230,1056,3042,2288,2000,1851,nan,nan,nan,nan,nan,nan,236.00,100.90,300.00,nan,nan,80.00,210.00,170.00,nan,nan,nan,nan,nan,nan,nan,nan,236.13,100.94,300.00,nan,nan,79.72,210.00,170.00,nan,nan
